id,wikidata_id,name,description,wikipedia_title,entity_type,gender,publisher,narrative_universe,first_appearance,creators
225,Q3038387,Elders of the Universe,fictional group of characters in Marvel Comics,Elders of the Universe,group of fictional characters,,,Earth-616,,
226,Q3039224,Dreadknight,fictional character appearing in American comic books,Dreadknight,comics character,male,,Earth-616,,
227,Q3043221,Hela,fictional character in Marvel Comics,Hela (character),Asgardian; comics character,female,,Earth-616,,Stan Lee; Jack Kirby
228,Q3052324,Hydra,fictional supervillain organization,Hydra (comics),fictional criminal organization; supervillain team,,Marvel Comics,Earth-616,,Stan Lee
229,Q30636422,Hala the Accuser,comics character,Hala the Accuser,comics character; Kree,female,,,,
230,Q3087835,Frigga,fictional character in Marvel Comics,Frigga (character),Asgardian,female,,Earth-616,,
231,Q3095016,Gamma Corps,fictional military unit in Marvel Comics,Gamma Corps,group of fictional characters,,,Earth-616,,
232,Q3100198,Geist,supervillain opponent of Wolverine,Geist (Marvel Comics),comics character,,,Earth-616,,
233,Q3108827,Glenn Talbot,fictional character in Marvel Comics,Glenn Talbot,fictional human; comics character,male,,Earth-616,,
234,Q3109952,Executioner,fictional character in the Marvel Comics universe,Executioner (character),half-giant in a work of fiction; comics character,male,,Earth-616,,
235,Q3111031,Gorgon,fictional mutant in Marvel Comics,Gorgon (Tomi Shishido),mutant,male,,Earth-616,,Mark Millar; John Romita Jr.
236,Q3115851,Graydon Creed,fictional character in Marvel Comics,Graydon Creed,fictional human; comics character; animated character,male,,Earth-616,,Scott Lobdell; Brandon Peterson
237,Q3139744,Man-Ape,fictional character in Marvel Comics,Man-Ape,fictional human; mutate; film character,male,,Earth-616,,
238,Q3162643,Gardener,fictional character in Marvel Comics,Gardener (comics),cosmic entity; fictional humanoid extraterrestrial,male,,Earth-616,,
239,Q3183266,Jonas Harrow,fictional character in Marvel Comics,Jonas Harrow,fictional human; comics character,male,,Earth-616,,Gerry Conway; John Romita Sr.
240,Q3192657,Kangaroo,supervillain from the Marvel Universe,Kangaroo (character),comics character,male,,Earth-616,,
241,Q3198900,Korath the Pursuer,fictional character appearing in American comic books published by Marvel Comics,Korath the Pursuer,comics character; film character; Kree,male,,Earth-616,,Mark Gruenwald; Greg Capullo
242,Q3199922,Kronos,fictional character in Marvel Comics,Kronos (comics),cosmic entity; Eternal,male,,Earth-616,,Mike Friedrich; Jim Starlin
243,Q322646,Avengers,comic book superhero team,Avengers (comics),group of fictional characters; fictional organization; superhero team,,,Earth-616,The Avengers #1,Stan Lee; Jack Kirby
