id,wikidata_id,name,description,wikipedia_title,entity_type,gender,publisher,narrative_universe,first_appearance,creators
1,Q1002884,Forge,fictional character in Marvel Comics,Forge (character),mutant; animated character; comics character,male,,Earth-616,Uncanny X-Men #184,Chris Claremont; John Romita Jr.
2,Q1041907,Wonder Man,fictional character in Marvel Comics,Wonder Man,mutate,male,,Earth-616,,Stan Lee; Jack Kirby
3,Q104833057,Cosmic Ghost Rider,Marvel Comics character,Cosmic Ghost Rider,comics character,male,,,,
4,Q1051111,Destiny,fictional character in Marvel Comics,Destiny (Irene Adler),mutant; animated character; comics character,female,,Earth-616,X-Men #141,Chris Claremont; John Byrne
5,Q105605035,Ultimate Hulk,comics character,Hulk (Ultimate Marvel character),comics character,male,,Earth-1610,,
6,Q106670105,Baron Macabre,comics character,Baron Macabre,comics character,,,,,Don McGregor; Gil Kane
7,Q108923148,Venom,fictional character in Sony's Spider-Man Universe,Venom (Sony's Spider-Man Universe),film character; Symbiote; CGI character; fictional human,agender,,Sony's Spider-Man Universe,,
8,Q110147974,Gabby Kinney,fictional character in Marvel Comics,Gabby Kinney,mutant; fictional clone; comics character,female,,Earth-616,,
9,Q110486878,Kingpin,Marvel Comics character,Kingpin (Matt Murdock),comics character,male,,,,
10,Q110871130,Max Dillon,film character,Max Dillon (film character),fictional human; mutate; film character; video game character,male,,Earth-120703,,
11,Q110917411,Gargantos,Marvel Comics Character,,comics character,,,,,
12,Q111301136,Marla Madison,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,,Len Wein; Ross Andru
13,Q111309715,N'Dare,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #96,
14,Q111328111,Brian Xavier,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #12,Stan Lee; Jack Kirby; Alex Toth
15,Q111328112,Sharon Xavier,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #12,Stan Lee; Jack Kirby; Alex Toth
16,Q111333247,Norton McCoy,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #15,
17,Q111333248,Edna McCoy,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #15,
18,Q111342150,Eel,"fictional character in Marvel Comics, introduced in 1983",,fictional human; comics character,male,,Earth-616,,Kurt Busiek; Denys Cowan
19,Q111342207,Porcupine,"fictional character in Marvel Comics, introduced in 1963",,fictional human; comics character,male,,Earth-616,,Stan Lee; Ernie Hart; Don Heck
20,Q111376777,William Drake,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #44,Gary Friedrich; George Tuska; John Verpoorten
21,Q111376791,Madeline Drake,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #44,Gary Friedrich; George Tuska; John Verpoorten
22,Q111449140,David Munroe,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #102,Chris Claremont; Dave Cockrum
23,Q111658696,Carmen Pryde,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #129,Chris Claremont; John Byrne
24,Q111658697,Terri Pryde,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #129,Chris Claremont; John Byrne
25,Q111722753,Red Guardian,"fictional character in Marvel Comics, introduced in 1967",,fictional human; comics character,male,,Earth-616,,Roy Thomas; John Buscema
26,Q111795149,Eleonore Brant,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,The Amazing Spider-Man #2,Stan Lee; Steve Ditko
27,Q111910187,Ox,"fictional character in Marvel Comics, introduced in 1963",,mutate; comics character,male,,Earth-616,The Amazing Spider-Man #10,Stan Lee; Steve Ditko
28,Q111910188,Ox,"fictional character in Marvel Comics, introduced in 1978",,fictional human; comics character,male,,Earth-616,,Bill Mantlo; Sal Buscema
29,Q111951332,Spider-Man,Toei's Spider-Man character,Spider-Man (Takuya Yamashiro),television character,male,,,,
30,Q112042766,Wilson Allan,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,The Amazing Spider-Man #17,Stan Lee; Steve Ditko
31,Q112110359,Kate Pryde,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,female,,Earth-811,X-Men #141,Chris Claremont; John Byrne
32,Q112110379,Wolverine,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,male,,Earth-811,X-Men #141,Chris Claremont; John Byrne
33,Q112110384,Magneto,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,male,,Earth-811,X-Men #141,Chris Claremont; John Byrne
34,Q112110393,Storm,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,female,,Earth-811,X-Men #141,Chris Claremont; John Byrne
35,Q1130690,Caiera,fictional character in Marvel Comics,,comics character; fictional humanoid extraterrestrial,female,,Earth-616,,
36,Q1131724,Dracula,fictional character in Marvel Comics,Dracula (Marvel Comics),vampire in Marvel Universe; comics character; film character; animated character,male,,Earth-616,,Gerry Conway; Gene Colan
37,Q1136453,Pete Wisdom,fictional character in Marvel Comics,Pete Wisdom,mutant,male,,Earth-616,,Warren Ellis; Ken Lashley
38,Q113947121,King Thor,fictional character in the Marvel Comics,King Thor,comics character,male,,,,
39,Q114005814,Colleen,fictional character from Marvel Comics's Kitty's Fairy Tale timeline,,fictional human; comics character,female,,Earth-5311,Uncanny X-Men #153,Chris Claremont; Dave Cockrum
40,Q114888777,Maria Castle,Marvel character,Maria Castle,fictional human; comics character; film character,female,,Earth-616,Marvel Preview,Gerry Conway; Tony DeZuniga
41,Q114889845,Lisa Barbara Castle,Marvel character,Lisa Barbara Castle,fictional human; film character; comics character,female,,,,
42,Q114890103,Frank Castle Jr.,Marvel character,Frank Castle Jr.,fictional human; film character; comics character,male,,,Marvel Preview,
43,Q1149855,Impossible Man,fictional character in Marvel Comics,Impossible Man,fictional humanoid extraterrestrial; comics character,male,,Earth-616,Fantastic Four #11,Stan Lee; Jack Kirby
44,Q115441513,Fen,fictional character in Marvel Comics,,Homo mermanus; comics character,female,,Earth-616,,Bill Everett
45,Q115533935,Danielle Cage,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,,
46,Q115800561,Zenzi,comics character,Zenzi (comics),comics character,,,,,Ta-Nehisi Coates; Brian Stelfreeze
47,Q11680813,Sin-Eater (comics),a villain from Marvel Comics franchise,Sin-Eater (character),comics character,,,Earth-616,,
48,Q117178837,Joe Danvers,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,,Chris Claremont; Carmine Infantino
49,Q117178853,Marie Danvers,fictional character in Marvel Comics,,Kree; comics character,female,,Earth-616,,Chris Claremont; Jim Mooney
50,Q117322403,Professor X,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,male,,Earth-811,X-Men #141,Chris Claremont; Bill Sienkiewicz
51,Q117322409,Nightcrawler,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,male,,Earth-811,X-Men #141,Chris Claremont; John Byrne
52,Q1194236,Cannonball,fictional character in Marvel Comics,Cannonball (Marvel Comics),mutant; animated character; film character,male,,Earth-616,The New Mutants,Chris Claremont; Bob McLeod
53,Q12305959,Christian Frost,Danish journalist,,human,male,,,,
54,Q1235121,Phyla-Vell,Marvel Comics superhero,Phyla-Vell,comics character; fictional hybrid,female,,Earth-616,,
55,Q125253709,Venom,fictional character from Marvel vs. Capcom,,fictional human; video game character,male,,Earth-30847,Marvel vs. Capcom: Clash of Super Heroes,
56,Q125348701,One Below All,fictional character in Marvel Comics,,fictional deity; cosmic entity,,,Multiverse,,Al Ewing; Joe Bennett
57,Q128452,X-Men,fictional superhero team in Marvel Comics,X-Men,superhero team; fictional organization,,,Earth-616,X-Men #1,Stan Lee; Jack Kirby
58,Q128904414,Cyclops,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,male,,Earth-811,X-Men #141,Chris Claremont; John Romita Jr.
59,Q130378413,Sui-San,fictional character in Marvel Comics,,Eternal,female,,Earth-616,,Jim Starlin
60,Q1319513,Odin,fictional character in Marvel Comics,Odin (Marvel Comics),fictional deity; Asgardian; comics character,male,,Earth-616,,
61,Q133267296,Xandra Neramani,Marvel Comics character,,extraterrestrial–human hybrid in a work of fiction; comics character,female,,,,
62,Q133799918,Iron Lad,comics character,,comics character,male,,,,
63,Q133799925,Doom,comics character,,comics character,male,,,,
64,Q133799944,Captain America,alternate version of Captain America in Marvel Multiverse,,comics character,male,,,,
65,Q133800008,Thor,comics character,,comics character; Asgardian,male,,,,
66,Q1394350,Karla Sofen,fictional character in Marvel Comics,Karla Sofen,mutate,female,,Earth-616,,Marv Wolfman; Frank Robbins
67,Q1394575,Skaar,"Marvel Comics character, son of the Hulk",Skaar (character),comics character; gamma mutate; extraterrestrial–human hybrid in a work of fiction,male,,Earth-616,,
68,Q1424480,Daisy Johnson,fictional superhero,Daisy Johnson,mutant; comics character; television character; film character,female,,Earth-616; Marvel Cinematic Universe,,Brian Michael Bendis; Gabriele Dell'Otto
69,Q1447249,Doctor Faustus,Marvel Comics fictional character,Doctor Faustus (character),comics character,male,,Earth-616,,
70,Q14619282,Tiberius Stone,fictional character in Marvel Comics,,comics character; fictional human,male,,,,
71,Q15141703,Ultimate Namor,,,comics character; mutant,male,,Earth-1610,,Mark Millar; Greg Land
72,Q152098,The Fantastic Four,fictional superhero team,Fantastic Four,superhero team; fictional organization; fictional quartet; tetrad,,Marvel Comics,Earth-616,,Stan Lee; Jack Kirby
73,Q15222919,Nightmare,fictional supervillain,Nightmare (Marvel Comics),comics character,,,Earth-616,,
74,Q15229053,Katherine Summers,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #108,Chris Claremont; John Byrne
75,Q1585469,Shadow King,fictional character in Marvel Comics,Shadow King,mutant,male,,Earth-616,X-Men #117,Chris Claremont; John Byrne
76,Q1607791,Legion,fictional character in Marvel Comics,Legion (Marvel Comics),mutant; animated character; television character; comics character,male,,Earth-616,,Chris Claremont; Bill Sienkiewicz
77,Q16203115,Abner Jenkins,fictional character in Marvel Comics,Abner Jenkins,comics character; fictional human,male,,Earth-616,,Stan Lee; Carl Burgos
78,Q16253333,Magnus Lehnsherr,fictional character in Marvel Comics,Magnus Lehnsherr,mutant,male,,Earth-616,,
79,Q1628510,Romulus,fictional character in Marvel Comics,Romulus (comics),mutant; comics character,male,,Earth-616,,Jeph Loeb; Simone Bianchi
80,Q1638503,Crossfire,supervillain in the Marvel Comics universe,Crossfire (comics),fictional human; comics character,male,,Earth-616,,
81,Q1638775,Mister Hyde,supervillain from Marvel Comics,Mister Hyde (Marvel Comics),comics character,male,,Earth-616,,
82,Q16619125,Ultimate Doctor Doom,fictional character in Marvel Comics,,mutate,male,,Earth-1610,,Brian Michael Bendis; Mark Millar; Warren Ellis; Adam Kubert
83,Q16912454,Ultimate Hawkeye,,,comics character,male,,Earth-1610,,
84,Q17019529,Sigyn,fictional character appearing in the Marvel Comics universe,Sigyn (Marvel Comics),comics character; Asgardian,female,,Earth-616,,
85,Q17022155,Steel Serpent,comics character,Steel Serpent,comics character; television character; fictional human,male,,Earth-616,,
86,Q17033514,Thunderstrike,fictional character in Marvel Comics (Eric Masterson),Thunderstrike (Eric Masterson),mutate,male,,Earth-616,,Tom DeFalco; Ron Frenz
87,Q17064925,White Tiger,"Marvel Comics character, debuted in 1975",White Tiger (Hector Ayala),fictional human; comics character,male,,Earth-616,,Bill Mantlo; George Pérez
88,Q17066180,Rebecca Banner,Marvel comics character,Rebecca Banner,comics character; fictional human,female,,Earth-616,,Bill Mantlo
89,Q1735229,Adam Warlock,fictional character in Marvel Comics,Adam Warlock,cosmic entity,male,,Earth-616,,Stan Lee; Jack Kirby
90,Q1748149,Menace,fictional character in Marvel Comics,Menace (Marvel Comics),comics character; mutate,female,,Earth-616,,Marc Guggenheim; Salvador Larroca; Joe Quesada; J. Michael Straczynski
91,Q1748380,Deacon Frost,fictional character in Marvel comic books,Deacon Frost,vampire in Marvel Universe; fictional human; film character,male,,Earth-616,,Marv Wolfman; Gene Colan
92,Q1771401,Joseph,fictional character in Marvel Comics,Joseph (comics),mutant; comics character; fictional clone,male,,Earth-616; Marvel Universe,,
93,Q1772036,Will o' the Wisp,fictional character in Marvel Comics,Will o' the Wisp (comics),mutate; comics character,male,,Earth-616,,
94,Q17986678,Corvus Glaive,fictional character in Marvel Comics,Corvus Glaive,comics character; fictional humanoid extraterrestrial,male,,Earth-616,,
95,Q1841525,Thunderbolt Ross,fictional character in Marvel Comics,Thunderbolt Ross,fictional human; animated character; film character; gamma mutate; supersoldier,male,,Earth-616,Incredible Hulk #1,Stan Lee; Jack Kirby
96,Q1861779,Scream,fictional character in Marvel Comics,,fictional human; Symbiote,female,,Earth-616,,David Michelinie; Ron Lim
97,Q1872439,X-23,fictional character in Marvel Comics,X-23,mutant; animated character; film character; fictional clone,female,,Earth-616,,Craig Kyle; Christopher Lee Yost
98,Q1908572,Moondragon,fictional character in Marvel Comics,Moondragon,fictional human; comics character,female,,Earth-616,,Bill Everett; Mike Friedrich; George Tuska
99,Q1911253,Nocturne,fictional character in Marvel Comics,Nocturne (Talia Wagner),mutant,female,,Earth-616,,Jim Calafiore
100,Q19364972,Damage,fictional character in the Marvel Comics universe,Damage (Marvel Comics),comics character,,,Earth-616,,
101,Q19398,Nova,"fictional character in Marvel Comics, introduced in 1975",Nova (Frankie Raye),comics character; mutate,female,,Earth-616,,Roy Thomas; George Pérez
102,Q19571310,Claire Temple,fictional character in Marvel Comics,Claire Temple,comics character; fictional human,female,,Earth-616,,Archie Goodwin; George Tuska
103,Q1982323,Ma Gnucci,comics character,Ma Gnucci,comics character; fictional human,female,,Earth-616,,
104,Q1984020,Terrax,fictional comic book character,Terrax,fictional human; comics character; extraterrestrials in fiction,male,,Earth-616,,Marv Wolfman; John Byrne; Joe Sinnott
105,Q19840837,Sniper,supervillain in Marvel Comics,Sniper (comics),comics character,,,Earth-616,,
106,Q19867627,Shiklah,comic book character,Shiklah,comics character; succubus in a work of fiction,female,,Earth-616,,Brian Posehn; Gerry Duggan; Reilly Brown
107,Q19875028,Ana Kravinoff,fictional character in Marvel Comics,Kraven the Hunter (Ana Kravinoff),comics character; mutate,female,,Earth-616,,Marc Guggenheim; Joe Kelly; Mike McKone; Phil Jimenez
108,Q1987662,Beta Ray Bill,fictional character in Marvel Comics,Beta Ray Bill,comics character; fictional humanoid extraterrestrial; cyborg in a work of fiction,male,,Earth-616,,Walt Simonson
109,Q19881381,Thorn,Marvel Comics villain,Thorn (Marvel Comics),comics character,,,Earth-616,,
110,Q1994866,Beyonder,fictional character in Marvel Comics,Beyonder,cosmic entity; comics character; fictional humanoid extraterrestrial,male,,Earth-616,Marvel Super Heroes Secret Wars #1,Jim Shooter; Mike Zeck
111,Q1995969,Emma Frost,fictional character in Marvel Comics,Emma Frost,mutant; animated character; film character; anime character,female,,Earth-616,X-Men #129,Chris Claremont; John Byrne
112,Q2003141,Grim Hunter,fictional character in Marvel Comics,Grim Hunter,comics character; mutate,male,,Earth-616,,
113,Q2032965,Frederick Foswell,fictional character in Marvel Comics,Frederick Foswell,fictional human; comics character,male,,Earth-616,The Amazing Spider-Man #10,Stan Lee; Steve Ditko
114,Q2034529,Red Skull,"fictional character in Marvel Comics, introduced in 1941",Red Skull,mutate; comics character; film character,male,,Earth-616,,Joe Simon; Jack Kirby; France Herron
115,Q20656907,Fancy Dan,fictional character in Marvel Comics,Fancy Dan,fictional human; comics character,male,,Earth-616,The Amazing Spider-Man #10,Stan Lee; Steve Ditko
116,Q2066394,Dormammu,fictional character in Marvel Comics,Dormammu,comics character; fictional humanoid extraterrestrial,male,,Earth-616,,Stan Lee; Steve Ditko
117,Q2070834,Owl,fictional character in Marvel Comics,Owl (Marvel Comics),mutate; animated character,male,,Earth-616,,Stan Lee; Joe Orlando
118,Q2071256,Polaris,fictional character in Marvel Comics,Polaris (Marvel Comics),mutant; animated character; television character,female,,Earth-616,X-Men #49,Arnold Drake; Jim Steranko; Don Heck
119,Q2071805,Apocalypse,fictional character in Marvel Comics,Apocalypse (character),mutant; animated character; film character; video game character,male,,Earth-616,,Louise Simonson; Jackson Guice; Bob Layton
120,Q2075745,Onslaught,fictional character in Marvel Comics,Onslaught (Marvel Comics),mutant,male,,Earth-616,,Mark Waid; Andy Kubert
121,Q2082275,Sinister Six,Marvel Comics supervillain team,Sinister Six,supervillain team; fictional criminal organization,,Marvel Comics,Earth-616,,Stan Lee; Steve Ditko
122,Q20858389,Franklin Storm,fictional character from Marvel Comics,Franklin Storm,comics character; fictional human; film character,male,,Earth-616,,Stan Lee; Jack Kirby
123,Q208927,MODOK,name of different Marvel supervillains,MODOK,mutate; comics character; animated character,,,Earth-616,,
124,Q20979240,Ebony Maw,fictional character in Marvel Comics,Ebony Maw,comics character; fictional humanoid extraterrestrial,male,,Earth-616,,
125,Q21188801,Jack Murdock,fictional character in Marvel Comics,Jack Murdock (character),comics character; fictional human; film character; television character,male,,Earth-616,,Stan Lee; Bill Everett
126,Q21188808,Ultimate Firestar,American student,,mutant; comics character,female,,Earth-1610,,Brian Michael Bendis; Mark Bagley; Bill Jemas
127,Q2267017,Cable,fictional character in Marvel Comics,Cable (character),mutant; cyborg in a work of fiction; animated character; film character,male,,Earth-616,,Chris Claremont; Louise Simonson; Rob Liefeld
128,Q2271377,Jessica Jones,fictional character in Marvel Comics,Jessica Jones,mutate; comics character; television character,female,,Earth-616,,Brian Michael Bendis; Michael Gaydos
129,Q227710,Nam,Wikimedia disambiguation page,Nam,Wikimedia disambiguation page,,,,,
130,Q2289795,Scorpion,name of multiple characters in Marvel Comics,Scorpion (Marvel Comics),set of comics characters,,,Earth-616,,
131,Q2295556,Marrina Smallwood,fictional character in Marvel Comics,Marrina Smallwood,extraterrestrial–human hybrid in a work of fiction; comics character,female,,Earth-616,,John Byrne
132,Q2295563,Starfox,fictional character in Marvel Comics,Starfox (character),comics character; fictional humanoid extraterrestrial,male,,Earth-616,,
133,Q2298077,Karen Page,fictional character in Marvel Comics,Karen Page,fictional human; comics character; film character,female,,Earth-616,,Stan Lee; Bill Everett
134,Q2309083,Zzzax,Marvel comics villain.,Zzzax,comics character,,,Earth-616,,
135,Q2314770,Namorita,character from Marvel Comics,Namorita,mutant,female,,Earth-616,,
136,Q2328990,The Leader,fictional character in Marvel Comics,Leader (character),mutate; comics character; gamma mutate,male,,Earth-616,,
