identity_id,relation,other_name,other_identity_id,other_wikidata_id
12,child,"Sadie ""Christmas"" / Lasher (symbiote)",161,Q2578146
12,child,Nam,,Q227710
12,child,Carl Mach,,Q2886408
12,child,Carlton Drake / Riot,80,Q507241
12,child,Carnage,6,Q1753328
12,alternate_universe_counterpart,Ultimate Venom,,Q4003186
122,enemy,Peter Parker / Spider-Man,27,Q79037
122,enemy,Kingpin,19,Q1753322
123,partner,Pepper Potts,,Q936542
125,enemy,Loki,164,Q1147326
125,enemy,Crossfire,,Q1638503
125,enemy,Trick Shot,,Q3539043
125,spouse,Mockingbird,,Q73544
125,partner,Black Widow / Natasha Romanova,70,Q369197
125,alternate_universe_counterpart,Ultimate Hawkeye,,Q16912454
126,enemy,New Warriors,,Q2731643
127,enemy,Peter Parker / Spider-Man,27,Q79037
129,enemy,Doctor Doom,9,Q430178
129,enemy,Wizard,,Q740257
129,enemy,Abner Jenkins,,Q16203115
129,enemy,Trapster,,Q431400
129,father,Franklin Storm,,Q20858389
129,spouse,Lyja,,Q3832323
129,partner,Crystal,,Q2418760
129,partner,Nova,,Q19398
129,partner,Namorita,,Q2314770
129,partner,Medusa,,Q432272
13,enemy,Peter Parker / Spider-Man,27,Q79037
131,enemy,Peter Parker / Spider-Man,27,Q79037
132,mother,Madeline Drake,,Q111376791
132,father,William Drake,,Q111376777
132,partner,Star-Lord / Peter Quill,211,Q547306
132,partner,Opal Tanaka,,Q24207147
132,partner,Mystique,,Q737236
132,partner,Christian Frost,,Q12305959
132,alternate_universe_counterpart,Ultimate Iceman,,Q48947511
135,enemy,Sabretooth,,Q431862
135,enemy,Steel Serpent,,Q17022155
135,enemy,Master Khan,,Q6785042
135,enemy,Man Mountain Marko,,Q6746231
136,enemy,Mandarin,,Q2417914
136,enemy,Thanos,246,Q2276627
136,enemy,Titanium Man,,Q2915396
136,enemy,MODOK,,Q208927
136,enemy,Ultron,,Q2474195
136,enemy,Loki,164,Q1147326
136,enemy,Iron Monger,,Q2487192
136,enemy,Hydra,,Q3052324
136,enemy,Justin Hammer,,Q2664416
136,enemy,Crimson Dynamo,,Q2339552
136,enemy,Zeke Stane,,Q2790757
136,enemy,Gremlin,,Q3032140
136,enemy,Cobalt Man,,Q3269419
136,enemy,Madame Masque,,Q2339160
136,mother,Maria Stark,,Q3847537
136,father,Howard Stark,,Q773035
136,alternate_universe_counterpart,Ultimate Iron Man,,Q288516
136,alternate_universe_counterpart,Iron Lad,,Q133799918
137,spouse,Marla Madison,,Q111301136
137,child,John Jameson,150,Q2423326
137,child,Mattie Franklin (future Spider-Woman),182,Q2095786
14,enemy,Jigsaw,,Q955796
14,enemy,Barracuda,,Q3544280
14,enemy,Damage,,Q19364972
14,enemy,Thorn,,Q19881381
14,enemy,Rapido,,Q23306602
14,enemy,Ma Gnucci,,Q1982323
14,enemy,Russian,,Q2438411
14,enemy,Bushwacker,,Q2633496
14,enemy,Sniper,,Q19840837
14,enemy,Gold Goblin,117,Q17090877
14,enemy,Kingpin,19,Q1753322
14,spouse,Maria Castle,,Q114888777
14,child,Lisa Barbara Castle,,Q114889845
14,child,Frank Castle Jr.,,Q114890103
14,alternate_universe_counterpart,Cosmic Ghost Rider,,Q104833057
142,enemy,Peter Parker / Spider-Man,27,Q79037
142,father,Tombstone,43,Q59643
142,partner,Randy Robertson,,Q7292400
144,spouse,Rio Morales,225,Q60825677
144,child,Miles Morales,25,Q59826
146,enemy,Titania,,Q580822
146,spouse,John Jameson,150,Q2423326
146,partner,Starfox,,Q2295563
146,partner,Hercules,,Q534889
146,partner,Iron Man / Tony Stark,136,Q180704
146,partner,Clay Quartermain,,Q965099
146,partner,Wyatt Wingfoot,,Q3570193
146,partner,Luke Cage,166,Q2267760
146,relative,Hulk,18,Q188760
146,relative,Bruce Banner,,Q24050117
146,relative,Skaar,,Q1394575
149,enemy,Kingpin,,Q110486878
149,alternate_universe_counterpart,Gwen Stacy,16,Q945817
15,enemy,Doctor Octopus,10,Q578094
15,father,Gold Goblin,117,Q17090877
15,spouse,Liz Allan,163,Q1132203
15,child,Normie Osborn,,Q7053134
15,partner,Menace,,Q1748149
15,partner,Mary Jane Parker,178,Q27810
150,father,J. Jonah Jameson,137,Q1992523
150,spouse,She-Hulk / Jennifer Walters,146,Q677627
155,enemy,Sinister Six,,Q2082275
157,enemy,Avengers,,Q322646
157,enemy,Ultron,,Q2474195
157,enemy,Doctor Doom,9,Q430178
157,enemy,Immortus,,Q3543422
157,enemy,Ravonna Renslayer,,Q7296820
157,enemy,Knull,160,Q85774745
157,relative,Nathaniel Richards,,Q3336797
157,relative,Mister Fantastic / Reed Richards,187,Q865017
157,relative,Franklin Richards,,Q2624716
157,relative,Valeria Richards,,Q734861
16,father,George Stacy,115,Q7879740
16,partner,Peter Parker / Spider-Man,27,Q79037
16,alternate_universe_counterpart,Jessica Drew / Spider-Woman,149,Q20979395
160,enemy,Patrick Mulligan / Toxin,207,Q2604715
160,enemy,Kang the Conqueror,157,Q1982051
161,enemy,Peter Parker / Spider-Man,27,Q79037
161,father,Eddie Brock / Venom,12,Q1621261
163,father,Wilson Allan,,Q112042766
163,spouse,Green Goblin / Norman Osborn,15,Q1779361
163,child,Normie Osborn,,Q7053134
163,partner,Peter Parker / Spider-Man,27,Q79037
163,partner,Flash Thompson,110,Q552000
163,alternate_universe_counterpart,Ultimate Firestar,,Q21188808
164,enemy,Thor,249,Q717588
164,enemy,Iron Man / Tony Stark,136,Q180704
164,enemy,Hawkeye,125,Q19095
164,enemy,Avengers,,Q322646
164,father,Laufey,,Q6497975
164,spouse,Sigyn,,Q17019529
164,child,Fenris Wolf,,Q5443580
164,child,Midgard Serpent,,Q6842189
164,child,Agamemnon,,Q4691169
166,enemy,Chemistro,,Q2962576
166,enemy,Diamondback,,Q43073416
166,enemy,Cottonmouth,,Q2998614
166,enemy,Man Mountain Marko,,Q6746231
166,spouse,Jessica Jones,,Q2271377
166,child,Danielle Cage,,Q115533935
166,partner,She-Hulk / Jennifer Walters,146,Q677627
171,enemy,Professor X,214,Q838076
171,enemy,X-Men,,Q128452
171,enemy,William Stryker,,Q2551564
171,enemy,Daisy Johnson,,Q1424480
171,enemy,Jean Grey,,Q5350072
171,enemy,Onslaught,,Q2075745
171,enemy,Apocalypse,,Q2071805
171,enemy,Red Skull,,Q2034529
171,spouse,Magda Lehnsherr,,Q57013559
171,child,Anya Eisenhardt,,Q57022061
171,child,Scarlet Witch,,Q929285
171,child,Quicksilver,,Q929273
171,child,Polaris,,Q2071256
171,child,Joseph,,Q1771401
171,child,Magnus Lehnsherr,,Q16253333
171,partner,Lee Forrester,,Q6513617
171,partner,Mystique,,Q737236
171,partner,Rogue,229,Q838097
171,alternate_universe_counterpart,Magneto,,Q112110384
171,alternate_universe_counterpart,Ultimate Magneto,,Q48412444
172,alternate_universe_counterpart,Peter Parker / Spider-Man,27,Q79037
175,enemy,Peter Parker / Spider-Man,27,Q79037
178,spouse,Peter Parker / Spider-Man,27,Q79037
178,child,Spider-Girl,35,Q2186500
178,child,Benjamin Richard Parker,,Q4889166
178,partner,Green Goblin / Norman Osborn,15,Q1779361
18,enemy,Abomination,,Q60146
18,enemy,The Leader,,Q2328990
18,enemy,Thunderbolt Ross,,Q1841525
18,enemy,MODOK,,Q208927
18,enemy,Tyrannus,,Q2749614
18,enemy,Glenn Talbot,,Q3108827
18,enemy,Gardener,,Q3162643
