work_id,source,publication,platform_scope,score,max_score,score_pct,review_count
72,Eurogamer,Eurogamer,,2.0,10.0,20.0,
72,Polygon,Polygon,,6.0,10.0,60.0,
72,GamesRadar+,GamesRadar+,,3.0,5.0,60.0,
72,Joystiq,Joystiq,,2.0,10.0,20.0,
72,Destructoid,Destructoid,,6.0,10.0,60.0,
72,GameTrailers,GameTrailers,,5.3,10.0,53.0,
72,PC Gamer (UK),PC Gamer,UK,55.0,100.0,55.0,
72,Official Xbox Magazine (US),Official Xbox Magazine,US,7.0,10.0,70.0,
73,Metacritic (iOS),Metacritic,iOS,79.0,100.0,79.0,
73,Pocket Gamer,Pocket Gamer,,7.0,10.0,70.0,
73,TouchArcade,TouchArcade,,4.0,10.0,40.0,
73,148Apps,148Apps,,4.0,5.0,80.0,
74,Metacritic (PS4),Metacritic,PS4,83.0,100.0,83.0,
74,Metacritic (PS3),Metacritic,PS3,82.0,100.0,82.0,
74,Metacritic (Wii U),Metacritic,Wii U,82.0,100.0,82.0,
74,Metacritic (X360),Metacritic,X360,80.0,100.0,80.0,
74,Metacritic (PC),Metacritic,PC,78.0,100.0,78.0,
74,IGN,IGN,,9.0,10.0,90.0,
74,Game Informer,Game Informer,,9.0,10.0,90.0,
74,Eurogamer,Eurogamer,,9.0,10.0,90.0,
74,Polygon,Polygon,,8.5,10.0,85.0,
74,GameSpot,GameSpot,,7.0,10.0,70.0,
74,Destructoid,Destructoid,,8.5,10.0,85.0,
75,Metacritic (XONE),Metacritic,XONE,76.0,100.0,76.0,
75,Metacritic (NS),Metacritic,NS,75.0,100.0,75.0,
75,Metacritic (PS4),Metacritic,PS4,73.0,100.0,73.0,
75,IGN,IGN,,8.0,10.0,80.0,
75,GameSpot,GameSpot,,7.0,10.0,70.0,
75,GamesRadar+,GamesRadar+,,4.0,5.0,80.0,
75,Game Informer,Game Informer,,6.0,10.0,60.0,
75,Polygon,Polygon,,6.0,10.0,60.0,
75,Shacknews,Shacknews,,8.0,10.0,80.0,
75,Nintendo Life,Nintendo Life,,7.0,10.0,70.0,
76,Metacritic (PS4),Metacritic,PS4,87.0,100.0,87.0,
76,IGN,IGN,,8.7,10.0,87.0,
76,GameSpot,GameSpot,,9.0,10.0,90.0,
76,Game Informer,Game Informer,,9.5,10.0,95.0,
76,Polygon,Polygon,,9.0,10.0,90.0,
76,Destructoid,Destructoid,,8.5,10.0,85.0,
76,Push Square,Push Square,,10.0,10.0,100.0,
79,Metacritic (PS4),Metacritic,PS4,84.0,100.0,84.0,
79,Metacritic (PS5),Metacritic,PS5,85.0,100.0,85.0,
79,Metacritic (PC),Metacritic,PC,88.0,100.0,88.0,
79,OpenCritic,OpenCritic,,94.0,100.0,94.0,
79,IGN,IGN,,9.0,10.0,90.0,
79,Destructoid,Destructoid,,9.0,10.0,90.0,
79,Game Informer,Game Informer,,9.0,10.0,90.0,
79,Electronic Gaming Monthly,Electronic Gaming Monthly,,5.0,10.0,50.0,
79,GameSpot,GameSpot,,7.0,10.0,70.0,
79,GamesRadar+,GamesRadar+,,4.0,5.0,80.0,
79,PC Gamer (US),PC Gamer,US,84.0,100.0,84.0,
79,The Guardian,The Guardian,,4.0,10.0,40.0,
80,Metacritic (PS5),Metacritic,PS5,90.0,100.0,90.0,
80,Metacritic (PC),Metacritic,PC,87.0,100.0,87.0,
80,IGN,IGN,,8.0,10.0,80.0,
80,GameSpot,GameSpot,,8.0,10.0,80.0,
80,Game Informer,Game Informer,,8.75,10.0,87.5,
80,Push Square,Push Square,,10.0,10.0,100.0,
80,Destructoid,Destructoid,,8.5,10.0,85.0,
77,Metacritic (The Heist),Metacritic,The Heist,76.0,100.0,76.0,
77,Metacritic (Turf Wars),Metacritic,Turf Wars,70.0,100.0,70.0,
77,Metacritic (Silver Lining),Metacritic,Silver Lining,75.0,100.0,75.0,
78,Metacritic (PC),Metacritic,PC,87.0,100.0,87.0,
