id,name,person_id,wikidata_id,wikipedia_title
308,Stephen Oyoung,,Q26155674,
309,William Salyers,,Q8018068,
310,Mark Rolston,,Q693301,
311,Travis Willingham,,Q2403592,
312,Jim Pirri,,Q2228120,
313,Tony Todd,,Q351849,
314,Tara Platt,,Q1316782,
315,Greta Lee,,,Greta Lee
316,Carl Banas,,,Carl Banas
317,Vern Chapman,,,
318,Tom Harvey,,,
319,Ed McNamara,,,Ed McNamara
320,Henry Ramer,,,Henry Ramer
321,Billie Mae Richards,,,Billie Mae Richards
322,Chris Wiggins,,,Chris Wiggins
323,Wally Burr,346,,Wally Burr
324,Corey Burton,,,Corey Burton
325,Regis Cordic,,,Regis Cordic
326,Peter Cullen,,,Peter Cullen
327,Jack DeLeon,,,Jack DeLeon
328,Ralph James,,,Ralph James (actor)
329,Lynn Johnson,,,
330,George DiCenzo,,,George DiCenzo
331,Walker Edmiston,,,Walker Edmiston
332,Linda Gary,,,Linda Gary
333,Stan Jones,,,G. Stanley Jones
334,John H. Mayer,,,
335,Don Messick,,,Don Messick
336,Vic Perrin,,,Vic Perrin
337,Neil Ross,,,Neil Ross
338,Michael Rye,,,Michael Rye
339,Michael Sheehan,,,
340,B.J. Ward,,,B. J. Ward (actress)
341,Paul Winchell,,,Paul Winchell
342,Saratoga Ballantine,,,
343,Julie Bennett,,,Julie Bennett
344,Hank Azaria,,,Hank Azaria
345,Mark Hamill,,,Mark Hamill
346,Paul Dobson,,,Paul Dobson (actor)
347,Mark Gibbon,,,Mark Gibbon
348,Scott McNeil,,,Scott McNeil
349,Joshua LeBar,,,Joshua LeBar
350,Clancy Brown,,,Clancy Brown
351,Thom Adcox-Hernandez,,,Thom Adcox-Hernandez
352,Jeff Bennett,,,Jeff Bennett
353,Xander Berkeley,,,Xander Berkeley
354,Angela Bryant,,,Angela Bryant
355,Max Burkholder,,,Max Burkholder
356,Nikki Cox,,,Nikki Cox
357,Keith David,,,Keith David
358,Grey DeLisle,,,Grey DeLisle
359,Benjamin Diskin,,,Benjamin Diskin
360,Charles Duckworth,,,
361,Robert Englund,,,Robert Englund
362,Bill Fagerbakke,,,Bill Fagerbakke
363,Miguel Ferrer,,,Miguel Ferrer
364,Crispin Freeman,,,Crispin Freeman
365,Elisa Gabrielli,,,Elisa Gabrielli
366,Andrew Kishino,,,Andrew Kishino
367,Phil LaMarr,,,Phil LaMarr
368,Eric Lopez,,,
369,James Remar,,,James Remar
370,Kevin Michael Richardson,,,Kevin Michael Richardson
371,Kath Soucie,,,Kath Soucie
372,Deborah Strang,,,
373,Courtney B. Vance,,,Courtney B. Vance
374,Eric Vesbit,,,
375,Greg Weisman,377,,Greg Weisman
376,Thomas F. Wilson,,,Thomas F. Wilson
377,Eric Bauza,,,Eric Bauza
378,Misty Lee,,,Misty Lee
379,Chi McBride,,,Chi McBride
380,Scott Porter,,,Scott Porter
381,Tara Strong,,,Tara Strong
382,Steven Weber,,,Steven Weber
383,Fred Tatasciore,,,Fred Tatasciore
384,Aaron Abrams,,,Aaron Abrams
385,Charlie Adler,,,Charlie Adler
386,Troy Baker,,,Troy Baker
387,Cameron Boyce,,,Cameron Boyce
388,Jonathan Brooks,,,
389,Jim Cummings,,,Jim Cummings
390,Felicia Day,,,Felicia Day
391,Alex Désert,,,Alex Désert
392,Alistair Duncan,,,Alastair Duncan (Scottish actor)
393,Meg Donnelly,,,Meg Donnelly
394,Will Friedle,,,Will Friedle
395,Peter Giles,,,
396,Olivia Holt,,,Olivia Holt
397,Ernie Hudson,,,Ernie Hudson
398,Aubrey Joseph,,,Aubrey Joseph
399,Natalie Lander,,,
400,Daisy Lightfoot,,,
401,Matthew Mercer,,,Matthew Mercer
